symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MESH6,-2,0,0.25,378053340056,378053340043,1,6843.25,6832.75,$(52.50),01/21/2026 15:05:56,01/21/2026 15:04:41,1min 14sec
MESH6,-2,0,0.25,378053340056,378053340018,1,6843.25,6824.75,$(92.50),01/21/2026 15:05:56,01/21/2026 13:34:48,1h 31min 7sec
MESH6,-2,0,0.25,378053340056,378053340014,3,6843.25,6824.75,$(277.50),01/21/2026 15:05:56,01/21/2026 13:34:45,1h 31min 10sec
6EH6,-5,0,5.0E-5,378053340046,378053340065,2,1.17550,1.17415,$(337.50),01/21/2026 15:05:10,01/21/2026 16:19:34,1h 14min 24sec
6EH6,-5,0,5.0E-5,378053340046,378053340070,1,1.17550,1.17415,$(168.75),01/21/2026 15:05:10,01/21/2026 16:19:34,1h 14min 24sec
6EH6,-5,0,5.0E-5,378053340106,378053340124,1,1.17260,1.17450,$237.50,01/22/2026 12:11:07,01/22/2026 14:18:16,2h 7min 9sec
6EH6,-5,0,5.0E-5,378053340106,378053340145,2,1.17260,1.17310,$125.00,01/22/2026 12:11:07,01/22/2026 14:30:00,2h 18min 53sec
YMH6,0,0,1.0,378053340171,378053340182,1,49486,49748,"$1,310.00",01/22/2026 14:47:22,01/22/2026 15:40:01,52min 38sec
YMH6,0,0,1.0,378053340153,378053340182,1,49486,49748,"$1,310.00",01/22/2026 14:47:21,01/22/2026 15:40:01,52min 39sec
HGH6,-4,0,5.0E-4,378053340225,378053340270,1,5.8655,5.9065,"$1,025.00",01/23/2026 13:29:50,01/23/2026 13:44:09,14min 19sec
